Name; Agents; t_Normal; t_RSD_heuristic; t_RSD; t_partition
wt40; 40; 0.016781; 0.021826; 0.007764; 0.509
wt40; 40; 0.016537; 0.020303; 0.013315; 0.423
wt40; 40; 0.009808; 0.008624; 0.010294; 0.167
wt40; 40; 0.015832; 0.010745; 0.007455; 0.134
wt40; 40; 0.008511; 0.008417; 0.008776; 0.137
wt40; 40; 0.018575; 0.010589; 0.008194; 0.188
wt40; 40; 0.009469; 0.008605; 0.009399; 0.11
wt50; 50; 0.00849; 0.008393; 0.008135; 0.252
wt50; 50; 0.024934; 0.008641; 0.011208; 0.174
wt50; 50; 0.01482; 0.015051; 0.013587; 0.364
wt50; 50; 0.009564; 0.009523; 0.009352; 0.459
wt50; 50; 0.011032; 0.012046; 0.009315; 0.338
wt50; 50; 0.026525; 0.010898; 0.010506; 0.543
wt50; 50; 0.011605; 0.014036; 0.013646; 0.564
wt50; 50; 0.012061; 0.020593; 0.013913; 0.539
wt50; 50; 0.010038; 0.010069; 0.010697; 0.637
wt50; 50; 0.018406; 0.018999; 0.018578; 0.564
wt50; 50; 0.031967; 0.032721; 0.029913; 0.674
wt50; 50; 0.018524; 0.023127; 0.020689; 0.686
wt50; 50; 0.022756; 0.016441; 0.011093; 0.614
wt50; 50; 0.03846; 0.034846; 0.047562; 0.478
wt50; 50; 0.0132; 0.016334; 0.01285; 0.691
wt50; 50; 0.032312; 0.039735; 0.036976; 0.912
wt50; 50; 0.021183; 0.019242; 0.020955; 0.686
wt50; 50; 0.028289; 0.039383; 0.031768; 0.809
wt50; 50; 0.015022; 0.013645; 0.014526; 0.725
wt50; 50; 0.041467; 0.054269; 0.036561; 0.648
wt50; 50; 0.023882; 0.009251; 0.010926; 0.181
wt50; 50; 0.022295; 0.011756; 0.009962; 0.164
wt50; 50; 0.022727; 0.010922; 0.010947; 0.206
wt50; 50; 0.022732; 0.008084; 0.009729; 0.131
wt50; 50; 0.008771; 0.009118; 0.010201; 0.13
wt50; 50; 0.000436; 0.000669; 0.00064; 0.049
wt50; 50; 0.000495; 0.000585; 0.000549; 0.031
wt50; 50; 0.014696; 0.009459; 0.014563; 0.084
wt50; 50; 0.000584; 0.000776; 0.000671; 0.04
wt50; 50; 0.000573; 0.000602; 0.000608; 0.031
wt50; 50; 0.011014; 0.011127; 0.010798; 0.62
wt50; 50; 0.016865; 0.010503; 0.014563; 0.486
wt50; 50; 0.024007; 0.025472; 0.019629; 0.877
wt50; 50; 0.015699; 0.016723; 0.013967; 0.475
wt50; 50; 0.024915; 0.037832; 0.028152; 0.765
wt50; 50; 0.044871; 0.05193; 0.022617; 1.341
wt50; 50; 0.023201; 0.023325; 0.021105; 0.799
wt50; 50; 0.021228; 0.023784; 0.017857; 0.77
wt50; 50; 0.059929; 0.0432; 0.04079; 1.085
wt50; 50; 0.025215; 0.025028; 0.010103; 1.129
wt50; 50; 0.04153; 0.041613; 0.039749; 0.68
wt50; 50; 0.039467; 0.031018; 0.035443; 0.553
wt50; 50; 0.012431; 0.015242; 0.013328; 0.579
wt50; 50; 0.028879; 0.017488; 0.011544; 0.673
wt50; 50; 0.033176; 0.030315; 0.035036; 0.843
wt50; 50; 0.019002; 0.013349; 0.017536; 0.233
wt50; 50; 0.016881; 0.010836; 0.016361; 0.356
wt50; 50; 0.027508; 0.013485; 0.013352; 0.396
wt50; 50; 0.019934; 0.015614; 0.00963; 0.415
wt50; 50; 0.02076; 0.013025; 0.008738; 0.276
wt100; 100; 0.014221; 0.015252; 0.014483; 1.607
wt100; 100; 0.010458; 0.01046; 0.010688; 0.927
wt100; 100; 0.011679; 0.012278; 0.011816; 1.001
wt100; 100; 0.017716; 0.017325; 0.02022; 0.932
wt100; 100; 0.015335; 0.0162; 0.015635; 1.041
wt100; 100; 0.207226; 0.064297; 0.078214; 1.341
wt100; 100; 0.012579; 0.013122; 0.01287; 1.494
wt100; 100; 0.020283; 0.019737; 0.021085; 1.391
wt100; 100; 0.022289; 0.021672; 0.034478; 1.379
wt100; 100; 0.019914; 0.020765; 0.019758; 1.278
wt100; 100; 0.020211; 0.021436; 0.03851; 1.713
wt100; 100; 0.025656; 0.024592; 0.025725; 1.879
wt100; 100; 0.027129; 0.026557; 0.043216; 1.605
wt100; 100; 0.036506; 0.035408; 0.036359; 2.092
wt100; 100; 0.036059; 0.035382; 0.036701; 1.859
wt100; 100; 0.062101; 0.071213; 0.062119; 1.916
wt100; 100; 0.056707; 0.063412; 0.076476; 2.12
wt100; 100; 0.045949; 0.032902; 0.045415; 1.82
wt100; 100; 0.048798; 0.045023; 0.043109; 2.104
wt100; 100; 0.028563; 0.048767; 0.040209; 1.704
wt100; 100; 0.037765; 0.021212; 0.040463; 0.853
wt100; 100; 0.045566; 0.015145; 0.023659; 0.594
wt100; 100; 0.038104; 0.01138; 0.018469; 0.576
wt100; 100; 0.038917; 0.011848; 0.021964; 0.442
wt100; 100; 0.0364; 0.016499; 0.0192; 0.72
wt100; 100; 0.000634; 0.000662; 0.000766; 0.117
wt100; 100; 0.008702; 0.010821; 0.008912; 0.269
wt100; 100; 0.000642; 0.000779; 0.000765; 0.124
wt100; 100; 0.000887; 0.000883; 0.001048; 0.135
wt100; 100; 0.000698; 0.000732; 0.000785; 0.109
wt100; 100; 0.021199; 0.021661; 0.021777; 1.384
wt100; 100; 0.018168; 0.021736; 0.025324; 1.213
wt100; 100; 0.029024; 0.033168; 0.029135; 1.325
wt100; 100; 0.024944; 0.024909; 0.02555; 1.398
wt100; 100; 0.018828; 0.019735; 0.019145; 1.327
wt100; 100; 0.40092; 0.027914; 0.033718; 1.446
wt100; 100; 0.02479; 0.026796; 0.041496; 1.649
wt100; 100; 0.018219; 0.018738; 0.018322; 1.579
wt100; 100; 0.023512; 0.02289; 0.023619; 1.654
wt100; 100; 0.023222; 0.026571; 0.035193; 1.577
wt100; 100; 0.257056; 0.26876; 0.290803; 2.628
wt100; 100; 0.045014; 0.053646; 0.044945; 2.149
wt100; 100; 0.036533; 0.035789; 0.036456; 1.663
wt100; 100; 0.029835; 0.052131; 0.029909; 2.152
wt100; 100; 0.06177; 0.101612; 0.061501; 3.312
wt100; 100; 0.015797; 0.011012; 0.014696; 0.676
wt100; 100; 0.037946; 0.024374; 0.0191; 1.314
wt100; 100; 0.024796; 0.024346; 0.024174; 0.74
wt100; 100; 0.021048; 0.012406; 0.021499; 0.618
wt100; 100; 0.020262; 0.011954; 0.02287; 0.499

